Date,Open,High,Low,Close ,Adj Close ,Currency,Volume
22-Feb-24,128.5,129.6,127.68,127.8,121.82,USD,2759100
21-Feb-24,127.8,128.15,127.11,127.35,121.39,USD,3288400
20-Feb-24,126.76,128.38,126.5,127.92,121.94,USD,4286100
16-Feb-24,127.1,127.93,126.67,127.03,121.09,USD,2172600
15-Feb-24,125.64,127.67,125.63,127.33,121.37,USD,4722500
14-Feb-24,124.21,125.39,123.87,125.36,119.49,USD,2948200
13-Feb-24,124.67,125.22,121.81,122.94,117.19,USD,4415800
12-Feb-24,124.51,126.24,124.51,126.19,120.29,USD,3294800
9-Feb-24,123.6,124.72,123.18,124.66,118.83,USD,1222600
8-Feb-24,123.2,123.67,122.38,123.65,117.86,USD,1611300
7-Feb-24,124.18,124.37,123.28,123.58,117.8,USD,3323800
6-Feb-24,124.19,125.22,123.91,124.14,118.33,USD,3519800
5-Feb-24,125.89,125.89,124.4,124.87,119.03,USD,4418000
2-Feb-24,125.7,126.05,124.7,125.8,119.91,USD,1258900
1-Feb-24,126.74,127.06,125.18,126.02,120.12,USD,1853000
31-Jan-24,128,128.72,126.43,126.64,120.72,USD,4734700
30-Jan-24,128.99,129.23,127.96,128.45,122.44,USD,3859800
29-Jan-24,1.51 Dividend,,,,,USD,
29-Jan-24,128.12,129.13,127.2,129.05,123.01,USD,5172400
26-Jan-24,130.29,130.54,129.88,130.21,122.68,USD,4487700
25-Jan-24,130.69,130.94,130.14,130.29,122.75,USD,3064800
24-Jan-24,129.45,130.45,129.44,130.04,122.52,USD,3329900
23-Jan-24,129.84,130.28,128.36,128.7,121.26,USD,4096700
22-Jan-24,129.5,129.66,128.5,129.38,121.9,USD,6192000
19-Jan-24,126.36,128.94,126.15,128.75,121.3,USD,2851400
18-Jan-24,126.69,127.38,126.26,126.42,119.11,USD,1710200
17-Jan-24,126.15,127.23,125.97,126.36,119.05,USD,3316300
16-Jan-24,126.43,127.65,125.5,127.45,120.08,USD,3385700
15-Jan-24,126.49,127.69,126.02,127.25,119.89,USD,2517600
12-Jan-24,127.26,127.91,126.16,126.43,119.12,USD,2926900
11-Jan-24,127.24,127.5,125.76,126.84,119.5,USD,2724000
10-Jan-24,129.51,130.39,127.71,127.75,120.36,USD,3207200
9-Jan-24,131.19,131.59,129.78,129.85,122.34,USD,1792300
8-Jan-24,130.47,131.84,130.38,131.7,124.08,USD,3647100
5-Jan-24,129.7,131.2,129.21,130.42,122.88,USD,1652300
4-Jan-24,129.03,130.85,129.03,129.59,122.09,USD,2652300
3-Jan-24,129.83,130.06,129.03,129.44,121.95,USD,2275500
2-Jan-24,130.49,131.3,130.03,130.49,122.94,USD,1734100
29-Dec-23,130.62,131.43,130.48,131.11,123.53,USD,1984100
28-Dec-23,131.27,132.11,130.45,130.68,123.12,USD,2586900
27-Dec-23,130.3,131.9,130.3,131.48,123.88,USD,1022300
22-Dec-23,129.22,130.78,129.22,130.21,122.68,USD,1548400
21-Dec-23,128.13,129.23,128.04,129.16,121.69,USD,1935400
20-Dec-23,128.56,129.68,127.15,127.41,120.04,USD,2295800
19-Dec-23,126.54,128.26,126.48,128.17,120.76,USD,1583300
